N°,Departamento,Provincia,Ubigeo distrital_x,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,"Casos de neumonías 
(< a 5 años)","Defunciones por neumonías
(< a 5 años)",Frecuencia de heladas (días/mes),Incidencia de Pobreza,Nivel de Riesgo MINSA,Población de 60 años a más,Población menor a 5 años,Porc. viviendas según el material utilizado para cocinar ,Tasa de Analfabetismo,"Tasa de Desnutrición Crónica
(< a 5 años)","Tasa de mortalidad 
(< a 5 años)","Tasa de neumonías
(< a 5 años)",Total del distrito,T° Mínima P10 (°C),"T° Mínima P5
 (°C)",Ubigeo distrital_y,Valor del IDS,Latitud,Longitud
1,PUNO,CARABAYA,210302,AJOYANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,0,0,10 a 20 dias,48.16,ALTO,179,289,89.58333333,15.64059925,27.3,0,0,2099,-14 a -11,,210302,0.035,-14.1,-70.2
2,PUNO,CARABAYA,210305,CORANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,0,0,10 a 20 dias,76.97,ALTO,301,549,91.16719243,21.23721313,49.3,0,0,3956,-20 a -14,,210305,0.035,-13.88991,-70.647842
3,PUNO,CARABAYA,210306,CRUCERO,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,0,0,10 a 20 dias,48.28,MEDIO,765,1184,78.92632781,13.3180542,34.6,0,0,9306,-20 a -14,,210306,0.035,-14.34538,-70.0320969
4,PUNO,CARABAYA,210301,MACUSANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,35,1,20 a 31 dias,41.2,MUY ALTO,831,1845,60.61875604,15.97044182,35.4,0.547645126,19.16757941,13015,-14 a -11,,210301,0.3554,-14.072176,-70.4253389
5,PUNO,CARABAYA,210310,USICAYOS,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,0,0,5 a 10 dias,33.88,ALTO,1371,2911,91.49716572,16.63924217,41.1,0,0,23937,-14 a -11,,210310,0.035,-14.1254679,-69.9661586
6,PUNO,CHUCUITO,210403,HUACULLANI,2104030002,2104030002,210403,HUACULLANI,CALLAZA,TAMBO AURICONTA,0,0,20 a 31 dias,60.82,ALTO,2105,2519,100,7.631578922,27.1,0,0,23369,-14 a -11,,210403,0.035,-16.630951,-69.319977
7,PUNO,CHUCUITO,210404,KELLUYO,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,1,0,20 a 31 dias,52.32,ALTO,2020,2739,96.08951175,5.069646835,19.8,0,0.362187613,25606,-14 a -11,,210404,0.0548,-16.7053271,-69.2436406
8,PUNO,CHUCUITO,210405,PISACOMA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,0,0,20 a 31 dias,45.73,ALTO,1269,1166,100,6.520414352,18.5,0,0,13672,-20 a -14,,210405,0.035,-16.907391,-69.366249
9,PUNO,CHUCUITO,210407,ZEPITA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,0,0,20 a 31 dias,73.26,ALTO,2547,2056,94.59543407,14.77641582,21,0,0,18961,-14 a -11,,210407,0.035,-16.4981761,-69.1014935
10,PUNO,EL COLLAO,210502,CAPAZO,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO,0,0,10 a 20 dias,57.39,MEDIO,207,207,97.79086892,4.011887074,18.2,0,0,2265,-20 a -14,,210502,0.035,,
