DESCRIPCION,AREA EN m2,TIPO ALMACEN,NIVEL DE ALMACEN,Latitud,Longitud,Departamento
ALMACEN GENERAL DE  LA VICTORIA,1500 m2,General,0,-12.0417693,-77.040296,LIMA
ALMACEN GRUPO AEREO CALLAO,300 m2,General,0,-12.0101174,-77.1122754,LIMA
ALMACEN SUNAT,1200 m2,General,0,-12.0798173,-76.9668835,LIMA
HUARAZ INDEPENDENCIA HUARAZ GOBIERNO REGIONAL,100 m2,Adelantado,3,-9.4945457,-77.5373592,ANCASH
HUARI HUARI HUARI MUNICIPALIDAD PROVINCIAL,50 m2,Adelantado,1,-9.3487267,-77.1719265,ANCASH
PALLASCA CABANA CABANA MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,1,-8.3944043,-78.006695,ANCASH
SANTA NVO CHIMBOTE CHIMBOTE SUB REGIONAL PACIF,100 m2,Adelantado,2,-9.128587999999999,-78.5298389,ANCASH
HUAMANGA   DRDC,180 m2,Central,3,-13.1638737,-74.22356409999999,AYACUCHO
HUANCA SANCOS SANCOS,70 m2,Adelantado,2,-13.9202424,-74.3345526,AYACUCHO
LUCANAS PUQUIO PUQUIO MUNICIPALIDAD PROVINCIAL,110 m2,Adelantado,2,-14.6900941,-74.1269322,AYACUCHO
PAUCAR DEL SARA SARA PAUSA PAUSA MUNICIPALIDAD PR,60 m2,Adelantado,2,-15.1799054,-73.1854901,AYACUCHO
ANGARAES LIRCAY ANGARAES MUNICIPALIDAD PROVINCIAL,32 m2,Adelantado,1,-12.9951759,-74.7249281,HUANCAVELICA
HUAYTARA HUAYTARA,75 m2,Adelantado,2,-13.6040212,-75.3532422,HUANCAVELICA
HVCA HVCA  GOBIERNO REGIONAL,60 m2,Adelantado,3,-12.7887246,-74.9736403,HUANCAVELICA
TAYACAJA PAMPAS,75 m2,Adelantado,2,-12.3992902,-74.8659421,HUANCAVELICA
DOS DE MAYO LA UNION,120 m2,Adelantado,1,-9.7744129,-76.78575900000001,HUANUCO
AMARILIS  GOBIERNO REGIONAL,400 m2,Adelantado,2,-9.932316499999999,-76.23541949999999,HUANUCO
HUMALIES LLATA,80 m2,Adelantado,1,-9.5498789,-76.8165928,HUANUCO
PRADO RUPA RUPA TINGO MARIA MUNICIPALIDAD PROVINCIAL,108 m2,Adelantado,1,-9.2980077,-76.0004822,HUANUCO
MARAÑON HUACRACHUCO,120 m2,Adelantado,1,-8.637081,-77.068703,HUANUCO
INCA POZUZO MUNICIPALIDAD,24 m2,Adelantado,1,-9.673406199999999,-75.46214669999999,HUANUCO
PTO INCA PTO INCA MUNICIPALIDAD,44 m2,Adelantado,1,-9.3789707,-74.9653952,HUANUCO
PUERTO INCA TOURNAVISTA MUNICIPALIDAD,60 m2,Adelantado,1,-8.929933,-74.70590589999999,HUANUCO
