N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES
1,PUNO,CARABAYA,210302,AJOYANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
2,PUNO,CARABAYA,210305,CORANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
3,PUNO,CARABAYA,210306,CRUCERO,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
4,PUNO,CARABAYA,210301,MACUSANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
5,PUNO,CARABAYA,210310,USICAYOS,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA
6,PUNO,CHUCUITO,210403,HUACULLANI,2104030002,2104030002,210403,HUACULLANI,CALLAZA,TAMBO AURICONTA
7,PUNO,CHUCUITO,210404,KELLUYO,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE
8,PUNO,CHUCUITO,210405,PISACOMA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE
9,PUNO,CHUCUITO,210407,ZEPITA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE
10,PUNO,EL COLLAO,210502,CAPAZO,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO
11,PUNO,EL COLLAO,210505,CONDURIRI,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO
12,PUNO,EL COLLAO,210501,ILAVE,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI
13,PUNO,EL COLLAO,210504,SANTA ROSA,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI
14,PUNO,HUANCANE,210602,COJATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
15,PUNO,HUANCANE,210603,HUATASANI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
16,PUNO,HUANCANE,210604,INCHUPALLA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
17,PUNO,HUANCANE,210605,PUSI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
18,PUNO,HUANCANE,210606,ROSASPATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA
19,PUNO,HUANCANE,210608,VILQUE CHICO,2106080025,2106080025,210608,VILQUE CHICO,CATAHUI,TAMBO CATAHUI
20,PUNO,LAMPA,210703,CALAPUJA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
21,PUNO,LAMPA,210701,LAMPA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
22,PUNO,LAMPA,210704,NICASIO,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
23,PUNO,LAMPA,210705,OCUVIRI,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA
