N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud
1,PUNO,CARABAYA,210302,AJOYANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-14 a -11,10 a 20 dias,2099,289,179,ALTO,576,576,0,MUY ALTO,3,42,4,ALTO,-14.1,-70.2
2,PUNO,CARABAYA,210305,CORANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-20 a -14,10 a 20 dias,3956,549,301,ALTO,951,952,1,ALTO,11,102,8,ALTO,-13.88991,-70.647842
3,PUNO,CARABAYA,210306,CRUCERO,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-20 a -14,10 a 20 dias,9306,1184,765,MEDIO,1751,1839,0,MEDIO,55,331,25,ALTO,-14.34538,-70.03209690000001
4,PUNO,CARABAYA,210301,MACUSANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-14 a -11,20 a 31 dias,13015,1845,831,MUY ALTO,3103,3111,0,ALTO,13,105,10,MUY ALTO,-14.072176,-70.4253389
5,PUNO,CARABAYA,210310,USICAYOS,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-14 a -11,5 a 10 dias,23937,2911,1371,ALTO,2999,2999,0,ALTO,11,65,10,ALTO,-14.1254679,-69.9661586
6,PUNO,CHUCUITO,210403,HUACULLANI,2104030002,2104030002,210403,HUACULLANI,CALLAZA,TAMBO AURICONTA,-14 a -11,20 a 31 dias,23369,2519,2105,ALTO,3042,3145,1,MUY ALTO,37,216,12,ALTO,-16.630951,-69.319977
7,PUNO,CHUCUITO,210404,KELLUYO,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,-14 a -11,20 a 31 dias,25606,2739,2020,ALTO,4424,4437,1,MUY ALTO,36,201,7,ALTO,-16.7053271,-69.24364059999999
8,PUNO,CHUCUITO,210405,PISACOMA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,-20 a -14,20 a 31 dias,13672,1166,1269,ALTO,2456,2618,0,MUY ALTO,15,107,12,ALTO,-16.907391,-69.366249
9,PUNO,CHUCUITO,210407,ZEPITA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,-14 a -11,20 a 31 dias,18961,2056,2547,ALTO,6439,6447,0,MUY ALTO,89,797,41,ALTO,-16.4981761,-69.1014935
10,PUNO,EL COLLAO,210502,CAPAZO,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO,-20 a -14,10 a 20 dias,2265,207,207,MEDIO,679,679,1,ALTO,8,46,7,ALTO,-17.183611111111112,-69.74444444444444
11,PUNO,EL COLLAO,210505,CONDURIRI,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO,-14 a -11,20 a 31 dias,4418,392,616,ALTO,1405,1412,0,MUY ALTO,15,102,10,MUY ALTO,-16.6217471,-69.7091549
12,PUNO,EL COLLAO,210501,ILAVE,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI,-14 a -11,20 a 31 dias,58210,5044,6178,MEDIO,14623,14741,3,ALTO,197,1214,71,ALTO,-16.0825395,-69.6384724
13,PUNO,EL COLLAO,210504,SANTA ROSA,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI,-20 a -14,20 a 31 dias,7822,794,866,ALTO,1663,1671,0,ALTO,25,176,17,ALTO,-16.766667,-69.85
14,PUNO,HUANCANE,210602,COJATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-14 a -11,20 a 31 dias,4346,513,434,ALTO,1317,1317,0,ALTO,22,135,15,ALTO,-15.0139992,-69.3667194
15,PUNO,HUANCANE,210603,HUATASANI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-14 a -11,20 a 31 dias,5475,538,689,ALTO,1243,1245,0,MUY ALTO,6,37,4,ALTO,-15.0553205,-69.8024099
16,PUNO,HUANCANE,210604,INCHUPALLA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-14 a -11,20 a 31 dias,3331,326,503,MUY ALTO,1079,1090,0,MUY ALTO,14,98,9,ALTO,-15.00646,-69.68311299999999
17,PUNO,HUANCANE,210605,PUSI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-11 a -5,20 a 31 dias,6366,601,876,ALTO,1752,1753,0,MUY ALTO,21,142,9,ALTO,-15.4419436,-69.92897839999999
18,PUNO,HUANCANE,210606,ROSASPATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-11 a -5,20 a 31 dias,5188,521,1001,ALTO,1724,1734,1,MUY ALTO,37,232,15,ALTO,-15.24014,-69.52763399999999
19,PUNO,HUANCANE,210608,VILQUE CHICO,2106080025,2106080025,210608,VILQUE CHICO,CATAHUI,TAMBO CATAHUI,-11 a -5,20 a 31 dias,8343,776,2044,MUY ALTO,3277,3293,1,MUY ALTO,67,334,37,MUY ALTO,-15.2159658,-69.6892254
20,PUNO,LAMPA,210703,CALAPUJA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,-14 a -11,20 a 31 dias,1481,132,232,MUY ALTO,386,393,0,MUY ALTO,6,35,1,MUY ALTO,-15.31982,-70.224693
21,PUNO,LAMPA,210701,LAMPA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,-14 a -11,20 a 31 dias,10331,943,1491,MUY ALTO,3152,3307,0,ALTO,40,316,17,ALTO,-15.3612378,-70.3628516
22,PUNO,LAMPA,210704,NICASIO,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,-14 a -11,20 a 31 dias,2675,288,323,ALTO,688,702,0,MUY ALTO,13,106,7,ALTO,-15.24381,-70.265129
23,PUNO,LAMPA,210705,OCUVIRI,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,-20 a -14,20 a 31 dias,3136,328,262,ALTO,607,619,2,ALTO,8,67,6,MUY ALTO,-15.12142,-70.929367
24,PUNO,LAMPA,210706,PALCA,2107060006,2107060006,210706,PALCA,CHULLUNQUIANI,TAMBO CHULLUNQUIANI,-20 a -14,20 a 31 dias,2849,257,246,ALTO,781,784,1,MUY ALTO,8,88,6,MUY ALTO,-15.3536556,-70.3857788
25,PUNO,LAMPA,210707,PARATIA,2107070002,2107070002,210707,PARATIA,QUILLISANI,TAMBO QUILLISANI,-20 a -14,20 a 31 dias,9181,768,611,ALTO,1454,1462,1,MUY ALTO,9,57,8,MUY ALTO,-15.46557,-70.609261
26,PUNO,LAMPA,210710,VILAVILA,2107100020,2107100020,210710,VILAVILA,CHIVAY,TAMBO PARCIALIDAD DE CHIVAY,-20 a -14,20 a 31 dias,4263,443,214,ALTO,598,609,1,MUY ALTO,2,11,1,ALTO,-15.19755,-70.677307
27,PUNO,MELGAR,210802,ANTAUTA,2108010048,2108010048,210801,AYAVIRI,TOCOTOCO,TAMBO TOCCO TOCCO,-14 a -11,20 a 31 dias,4458,492,405,ALTO,1273,1279,0,MUY ALTO,9,75,6,ALTO,-14.4,-70.36666699999999
28,PUNO,MELGAR,210801,AYAVIRI,2108010048,2108010048,210801,AYAVIRI,TOCOTOCO,TAMBO TOCCO TOCCO,-20 a -14,20 a 31 dias,22367,2148,1834,ALTO,5928,6012,1,ALTO,33,175,13,MUY ALTO,-14.8842942,-70.5889612
29,PUNO,MELGAR,210803,CUPI,2108030021,2108030021,210803,CUPI,CORANI,TAMBO CORANI,-20 a -14,20 a 31 dias,3377,414,309,ALTO,853,853,1,MUY ALTO,12,91,7,ALTO,-14.904254,-70.8669938
30,PUNO,MELGAR,210804,LLALLI,2108030021,2108030021,210803,CUPI,CORANI,TAMBO CORANI,-14 a -11,20 a 31 dias,4835,466,441,ALTO,1038,1043,0,MUY ALTO,9,59,6,MUY ALTO,-14.9479605,-70.87962759999999
31,PUNO,MELGAR,210806,NUÑOA,2108060063,2108060063,210806,NUÑOA,ANANSAYA PUNA,TAMBO ANANSAYA PUNA,-14 a -11,20 a 31 dias,11006,1327,1122,ALTO,2621,2642,1,MUY ALTO,37,261,19,ALTO,-14.4760253,-70.6365505
32,PUNO,MELGAR,210807,ORURILLO,2108060063,2108060063,210806,NUÑOA,ANANSAYA PUNA,TAMBO ANANSAYA PUNA,-14 a -11,20 a 31 dias,10852,1269,1340,ALTO,3206,3232,0,MUY ALTO,52,423,30,ALTO,-14.72796,-70.52284999999999
33,PUNO,MELGAR,210808,SANTA ROSA,2108080055,2108080055,210808,SANTA ROSA,BUENA VISTA,TAMBO BUENA VISTA,-20 a -14,20 a 31 dias,7396,911,746,MUY ALTO,2000,2128,1,MUY ALTO,24,206,10,MUY ALTO,-14.61148,-70.791023
34,PUNO,MELGAR,210809,UMACHIRI,2108080055,2108080055,210808,SANTA ROSA,BUENA VISTA,TAMBO BUENA VISTA,-14 a -11,20 a 31 dias,4422,476,460,ALTO,1056,1056,0,MUY ALTO,16,154,8,MUY ALTO,-14.852605,-70.7540166
35,PUNO,SAN ANTONIO DE PUTINA,211003,PEDRO VILCA APAZA,2110030001,2110030001,211003,PEDRO VILCA APAZA,AYRAMPUNI,TAMBO TUPAC AMARU AYRAMPUNI,-14 a -11,20 a 31 dias,2978,256,480,ALTO,879,884,1,MUY ALTO,7,72,6,MUY ALTO,-15.062222222222223,-69.88361111111112
36,PUNO,SAN ANTONIO DE PUTINA,211004,QUILCAPUNCU,2110030001,2110030001,211003,PEDRO VILCA APAZA,AYRAMPUNI,TAMBO TUPAC AMARU AYRAMPUNI,-14 a -11,20 a 31 dias,5806,681,559,ALTO,1503,1506,0,MUY ALTO,23,181,15,ALTO,-14.8925425,-69.7331607
37,APURIMAC,ABANCAY,30103,CIRCA,301030002,301030002,30103,CIRCA,YACA,TAMBO YACA,-14 a -11,5 a 10 dias,2506,248,418,MEDIO,826,842,1,MEDIO,19,90,14,ALTO,-13.8791041,-72.875917
38,APURIMAC,ABANCAY,30106,LAMBRAMA,301030002,301030002,30103,CIRCA,YACA,TAMBO YACA,-14 a -11,5 a 10 dias,5558,488,598,MEDIO,879,881,0,ALTO,26,131,19,ALTO,-13.8706341,-72.7697594
39,APURIMAC,ANTABAMBA,30301,ANTABAMBA,303010016,303010016,30301,ANTABAMBA,CULLCUNCHINI,TAMBO CULLCUNCHINI,-14 a -11,5 a 10 dias,3166,355,453,ALTO,1042,1059,1,ALTO,12,63,11,ALTO,-14.3651534,-72.8778527
40,APURIMAC,ANTABAMBA,30304,JUAN ESPINOZA MEDRANO,303040016,303040016,30304,JUAN ESPINOZA MEDRANO,CALCAUSO,TAMBO CALCAUSO,-14 a -11,5 a 10 dias,2049,241,326,ALTO,662,677,1,ALTO,7,74,8,MEDIO,-14.2093097,-73.058089
41,APURIMAC,ANTABAMBA,30305,OROPESA,303040016,303040016,30304,JUAN ESPINOZA MEDRANO,CALCAUSO,TAMBO CALCAUSO,-14 a -11,10 a 20 dias,3113,409,283,ALTO,671,686,0,ALTO,12,63,9,MUY ALTO,-14.2603902,-72.5633132
42,APURIMAC,ANTABAMBA,30307,SABAINO,303070033,303070033,30307,SABAINO,ANTILLA,TAMBO ANTILLA,-14 a -11,5 a 10 dias,1653,188,255,ALTO,485,493,1,ALTO,5,21,3,ALTO,-14.32663,-72.9516979
43,APURIMAC,COTABAMBAS,30506,CHALLHUAHUACHO,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,-14 a -11,10 a 20 dias,9933,1358,672,ALTO,2336,2339,1,MUY ALTO,52,623,44,ALTO,-14.1187849,-72.2475967
44,APURIMAC,COTABAMBAS,30504,HAQUIRA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,-14 a -11,20 a 31 dias,11833,1471,1064,ALTO,2754,2780,0,MUY ALTO,46,440,42,ALTO,-14.2234,-72.19461799999999
45,APURIMAC,COTABAMBAS,30505,MARA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,-11 a -5,10 a 20 dias,6693,822,631,MUY ALTO,1609,1612,0,MUY ALTO,37,399,32,ALTO,-14.10047,-72.108879
46,AREQUIPA,CAYLLOMA,40516,TAPAY,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,10 a 20 dias,531,54,132,ALTO,169,169,0,MUY ALTO,7,52,6,MUY ALTO,-15.5771262,-71.9390226
47,AREQUIPA,CAYLLOMA,40519,YANQUE,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,20 a 31 dias,2112,147,354,ALTO,734,734,1,ALTO,3,11,3,MUY ALTO,-15.6501,-71.65843579999999
48,AREQUIPA,CAYLLOMA,40509,ICHUPAMPA,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,20 a 31 dias,652,53,119,MEDIO,250,250,0,ALTO,0,0,0,MEDIO,-15.6500913,-71.68698739999999
49,AREQUIPA,CAYLLOMA,40510,LARI,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,20 a 31 dias,1528,140,247,ALTO,357,361,0,MUY ALTO,0,0,0,MEDIO,-15.6208297,-71.7689206
50,AREQUIPA,CAYLLOMA,40514,SAN ANTONIO DE CHUCA,405140174,405140174,40514,SAN ANTONIO DE CHUCA,CHUCA,TAMBO SAN ANTONIO DE CHUCA,-20 a -14,20 a 31 dias,1561,156,215,MUY ALTO,449,466,1,MUY ALTO,5,29,3,MUY ALTO,-15.928889,-71.105278
51,AREQUIPA,CAYLLOMA,40515,SIBAYO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-14 a -11,20 a 31 dias,661,66,94,ALTO,253,254,0,MUY ALTO,0,0,0,ALTO,-15.49357,-71.46597299999999
52,AREQUIPA,CAYLLOMA,40504,CALLALLI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-20 a -14,20 a 31 dias,1946,135,343,ALTO,677,677,0,MUY ALTO,4,6,3,ALTO,-15.5072929,-71.44292329999999
53,AREQUIPA,CAYLLOMA,40517,TISCO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-20 a -14,20 a 31 dias,1409,149,225,ALTO,634,634,2,MUY ALTO,9,41,6,MUY ALTO,-15.3471443,-71.4438761
54,AREQUIPA,CAYLLOMA,40518,TUTI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-20 a -14,20 a 31 dias,744,80,116,ALTO,310,310,0,MUY ALTO,0,0,0,ALTO,-15.5319205,-71.5490271
55,AREQUIPA,CONDESUYOS,40603,CAYARANI,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA,-14 a -11,10 a 20 dias,3085,356,209,MUY ALTO,607,607,1,MUY ALTO,13,86,5,ALTO,-14.68116,-72.020866
56,AREQUIPA,CONDESUYOS,40607,SALAMANCA,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA,-14 a -11,5 a 10 dias,855,80,199,ALTO,306,306,0,ALTO,6,33,3,ALTO,-15.5475134,-72.9184484
