Solution,Source,Destination,Item 1,Item 2,Item 3
1,A1,B3,230.0,210.0,150.0
1,A2,B1,140.0,167.0,90.0
1,A2,B3,30.0,23.0,160.0
1,B1,C1,140.0,167.0,90.0
1,B3,C2,260.0,233.0,310.0
1,C1,D1,1.0,20.0,16.0
1,C1,D2,10.0,10.0,5.0
1,C1,D3,0.0,0.0,2.0
1,C1,D4,38.0,100.0,9.0
1,C1,D5,7.0,1.0,8.0
1,C1,D6,51.0,24.0,42.0
1,C1,D7,26.0,12.0,8.0
1,C1,D8,7.0,0.0,0.0
1,C2,D1,1.0,16.0,8.0
1,C2,D2,4.0,4.0,1.0
1,C2,D3,60.0,50.0,88.0
1,C2,D4,2.0,0.0,6.0
1,C2,D5,17.0,2.0,52.0
1,C2,D6,39.0,21.0,38.0
1,C2,D7,4.0,10.0,7.0
1,C2,D8,133.0,130.0,110.0
2,A1,B3,230.0,210.0,150.0
2,A2,B1,127.0,163.0,90.0
2,A2,B3,43.0,27.0,160.0
2,B1,C1,127.0,163.0,90.0
2,B3,C2,273.0,237.0,310.0
2,C1,D1,11.0,14.0,16.0
2,C1,D2,10.0,12.0,5.0
2,C1,D3,0.0,0.0,2.0
2,C1,D4,38.0,100.0,9.0
2,C1,D5,10.0,1.0,8.0
2,C1,D6,48.0,24.0,42.0
2,C1,D7,3.0,12.0,8.0
2,C1,D8,7.0,0.0,0.0
2,C2,D1,1.0,12.0,8.0
2,C2,D2,4.0,10.0,1.0
2,C2,D3,60.0,50.0,88.0
2,C2,D4,2.0,0.0,6.0
2,C2,D5,30.0,2.0,52.0
2,C2,D6,42.0,23.0,38.0
2,C2,D7,1.0,10.0,7.0
2,C2,D8,133.0,130.0,110.0
3,A1,B3,230.0,210.0,150.0
3,A2,B1,161.0,162.0,103.0
3,A2,B3,9.0,28.0,147.0
3,B1,C1,161.0,162.0,103.0
3,B3,C2,239.0,238.0,297.0
3,C1,D1,29.0,15.0,20.0
3,C1,D2,9.0,11.0,5.0
3,C1,D3,0.0,0.0,5.0
3,C1,D4,39.0,100.0,2.0
3,C1,D5,3.0,0.0,8.0
3,C1,D6,72.0,24.0,50.0
3,C1,D7,3.0,12.0,13.0
3,C1,D8,6.0,0.0,0.0
3,C2,D1,14.0,14.0,16.0
3,C2,D2,4.0,10.0,1.0
3,C2,D3,60.0,50.0,85.0
3,C2,D4,1.0,0.0,1.0
3,C2,D5,7.0,1.0,52.0
3,C2,D6,18.0,23.0,25.0
3,C2,D7,1.0,10.0,7.0
3,C2,D8,134.0,130.0,110.0
4,A1,B3,230.0,210.0,150.0
4,A2,B1,158.0,164.0,101.0
4,A2,B3,12.0,26.0,149.0
4,B1,C1,158.0,164.0,101.0
4,B3,C2,242.0,236.0,299.0
4,C1,D1,34.0,14.0,20.0
4,C1,D2,9.0,14.0,5.0
4,C1,D3,0.0,0.0,5.0
4,C1,D4,31.0,100.0,2.0
4,C1,D5,3.0,0.0,8.0
4,C1,D6,72.0,24.0,48.0
4,C1,D7,3.0,12.0,13.0
4,C1,D8,6.0,0.0,0.0
4,C2,D1,16.0,12.0,16.0
4,C2,D2,4.0,11.0,1.0
