DESCRIPCION,AREA EN m2,TIPO ALMACEN,NIVEL DE ALMACEN,Latitud,Longitud,Departamento,Nivel,id
HUAMANGA   DRDC,180 m2,Central,3,-13.1638737,-74.22356409999998,AYACUCHO,1,0
HUANCA SANCOS SANCOS,70 m2,Adelantado,2,-13.9202424,-74.3345526,AYACUCHO,1,1
LUCANAS PUQUIO PUQUIO MUNICIPALIDAD PROVINCIAL,110 m2,Adelantado,2,-14.6900941,-74.1269322,AYACUCHO,1,2
PAUCAR DEL SARA SARA PAUSA PAUSA MUNICIPALIDAD PR,60 m2,Adelantado,2,-15.1799054,-73.1854901,AYACUCHO,1,3
ANGARAES LIRCAY ANGARAES MUNICIPALIDAD PROVINCIAL,32 m2,Adelantado,1,-12.995175900000001,-74.7249281,HUANCAVELICA,1,4
HUAYTARA HUAYTARA,75 m2,Adelantado,2,-13.6040212,-75.3532422,HUANCAVELICA,1,5
HVCA HVCA  GOBIERNO REGIONAL,60 m2,Adelantado,3,-12.7887246,-74.9736403,HUANCAVELICA,1,6
TAYACAJA PAMPAS,75 m2,Adelantado,2,-12.3992902,-74.8659421,HUANCAVELICA,1,7
DOS DE MAYO LA UNION,120 m2,Adelantado,1,-9.7744129,-76.78575900000001,HUANUCO,1,8
AMARILIS  GOBIERNO REGIONAL,400 m2,Adelantado,2,-9.9323165,-76.23541949999998,HUANUCO,1,9
HUMALIES LLATA,80 m2,Adelantado,1,-9.549878900000001,-76.8165928,HUANUCO,1,10
PRADO RUPA RUPA TINGO MARIA MUNICIPALIDAD PROVINCIAL,108 m2,Adelantado,1,-9.2980077,-76.00048220000001,HUANUCO,1,11
MARAÑON HUACRACHUCO,120 m2,Adelantado,1,-8.637081,-77.068703,HUANUCO,1,12
INCA POZUZO MUNICIPALIDAD,24 m2,Adelantado,1,-9.6734062,-75.46214669999998,HUANUCO,1,13
PTO INCA PTO INCA MUNICIPALIDAD,44 m2,Adelantado,1,-9.3789707,-74.9653952,HUANUCO,1,14
PUERTO INCA TOURNAVISTA MUNICIPALIDAD,60 m2,Adelantado,1,-8.929933,-74.70590589999998,HUANUCO,1,15
CARRION YANAHUANCA YANAHUANCA MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,1,-10.4906049,-76.51478840000001,PASCO,1,16
OXAPAMPA OXAPAMPA OXAPAMPA MUNICIPALIDAD PROVINCIAL,80 m2,Adelantado,1,-10.5852663,-75.40533669999998,PASCO,1,17
YANACANCHA  GOBIERNO REGIONAL,60 m2,Adelantado,2,-10.6654093,-76.25216340000001,PASCO,1,18
BUSTAM RIVERO AREQUIP DRDC,800 m2,Central,3,-16.434110399999998,-71.52194770000001,AREQUIPA,1,19
CARAVELI ACARI ACARI MUNICIPALIDAD DISTRITAL,200 m2,Adelantado,1,-15.438456500000001,-74.6180833,AREQUIPA,1,20
CARAVELI CARAVELI CARAVELI MUNICIPALIDAD PROVINCIAL,1400 m2,Adelantado,1,-15.772585300000001,-73.36577890000001,AREQUIPA,1,21
CASTILLA VIRACO VIRACO MUNICIPALIDAD DISTRITAL,90 m2,Adelantado,2,-15.66758,-72.53443899999998,AREQUIPA,1,22
CAYLLOMA CAYLLOMA CAYLLOMA MUNICIPALIDAD DISTRITAL,48 m2,Adelantado,2,-15.636644500000001,-71.60264790000002,AREQUIPA,1,23
CAYLLOMA CHIVAY CHIVAY MUNICIPALIDAD PROVINCIAL,375 m2,Adelantado,1,-15.6393489,-71.59909990000001,AREQUIPA,1,24
CHUQUIBAMBA CONDESUYOS MUNICIPALIDAD,400 m2,Adelantado,2,-15.848339999999999,-72.657494,AREQUIPA,1,25
LA UNION COTAHUASI COTAHUASI MUNICIPALIDAD PROVINCIAL,600 m2,Adelantado,1,-15.212280599999998,-72.89017249999998,AREQUIPA,1,26
AZANGARO AZANGARO MUNICIPALIDAD,150 m2,Adelantado,3,-14.916428699999997,-70.196185,PUNO,1,27
