N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud,Nivel,id
1,PUNO,CARABAYA,210302,AJOYANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-14 a -11,10 a 20 dias,2099,289,179,ALTO,576,576,0,MUY ALTO,3,42,4,ALTO,-14.1,-70.2,3,0
3,PUNO,CARABAYA,210306,CRUCERO,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-20 a -14,10 a 20 dias,9306,1184,765,MEDIO,1751,1839,0,MEDIO,55,331,25,ALTO,-14.345379999999999,-70.03209690000001,3,1
4,PUNO,CARABAYA,210301,MACUSANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-14 a -11,20 a 31 dias,13015,1845,831,MUY ALTO,3103,3111,0,ALTO,13,105,10,MUY ALTO,-14.072176,-70.42533890000001,3,2
5,PUNO,CARABAYA,210310,USICAYOS,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-14 a -11,5 a 10 dias,23937,2911,1371,ALTO,2999,2999,0,ALTO,11,65,10,ALTO,-14.1254679,-69.96615859999999,3,3
8,PUNO,CHUCUITO,210405,PISACOMA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,-20 a -14,20 a 31 dias,13672,1166,1269,ALTO,2456,2618,0,MUY ALTO,15,107,12,ALTO,-16.907391,-69.366249,3,4
9,PUNO,CHUCUITO,210407,ZEPITA,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,-14 a -11,20 a 31 dias,18961,2056,2547,ALTO,6439,6447,0,MUY ALTO,89,797,41,ALTO,-16.4981761,-69.1014935,3,5
11,PUNO,EL COLLAO,210505,CONDURIRI,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO,-14 a -11,20 a 31 dias,4418,392,616,ALTO,1405,1412,0,MUY ALTO,15,102,10,MUY ALTO,-16.6217471,-69.70915490000002,3,6
14,PUNO,HUANCANE,210602,COJATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-14 a -11,20 a 31 dias,4346,513,434,ALTO,1317,1317,0,ALTO,22,135,15,ALTO,-15.0139992,-69.36671940000001,3,7
15,PUNO,HUANCANE,210603,HUATASANI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-14 a -11,20 a 31 dias,5475,538,689,ALTO,1243,1245,0,MUY ALTO,6,37,4,ALTO,-15.055320499999999,-69.8024099,3,8
16,PUNO,HUANCANE,210604,INCHUPALLA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-14 a -11,20 a 31 dias,3331,326,503,MUY ALTO,1079,1090,0,MUY ALTO,14,98,9,ALTO,-15.00646,-69.68311299999999,3,9
