Nodes,Items,Solver execution time,Solver optimal value,GA execution time,GA optimal value
5,1,0.008683,499292.64,0.3951317548751831,499292.64462809917
5,3,0.11762,1703631.203292316,1.4144835233688355,1707050.8218048073
5,5,0.004097,2959872.2,1.3513053417205811,2977158.750493829
5,7,0.01498,2868928.135578291,3.9177114486694338,2948320.1453545787
10,1,0.093507,380800.3966942149,1.1268509387969972,411839.2571166208
10,3,1.23846,699857.4897937207,7.097627830505371,912228.3629340406
10,5,5.69253,1922668.411017489,12.695156002044678,2178217.2582038348
10,7,73.3217,2499959.2,15.924209666252136,2861672.170760897
15,1,0.086584,242676.1158587367,1.1209905624389649,282987.25
15,3,6.48149,873510.9743251393,6.326564073562622,999508.3173354593
15,5,36.03,1134136.7,13.236821413040161,1414602.4882845753
15,7,64.24,1862396.7,20.307447600364686,2161693.160468192
20,1,0.950327,418605.8909045099,2.18662166595459,481880.3872511968
20,3,34.89,1096563.1,10.661192607879638,1286828.3488266352
20,5,59.12,1995369.1,16.460135173797607,2315727.71324641
20,7,76.82,2491801.0,21.608783984184264,3339191.676700699
30,1,2.57049,422356.7763972118,5.434629344940186,484688.44444444444
30,3,88.29,1126224.3,19.216453194618225,1336121.7708018392
30,5,196.91,1580413.7,33.855898356437685,2019924.1214357202
30,7,318.64,2417517.0,46.334140586853025,2939692.536911061
50,1,16.565,392256.9256482316,9.920777320861816,466188.1111111111
50,3,285.0,998924.96,34.195418906211856,1240761.3859044996
50,5,525.62,1574122.5,57.28687312602997,1875381.3127740766
50,7,1130.16,2463475.4,87.4304018497467,2945791.679531998
70,1,48.3724,342532.3847513397,19.086057281494142,397906.51601473923
70,3,733.61,995572.95,64.92778720855713,1229755.5289115647
70,5,1312.68,1606624.1,109.30319411754608,1994132.8333333333
70,7,1939.96,2251286.2,151.37570011615753,2776552.2573696147
100,1,288.7,338277.44,47.047505784034726,414786.41723356006
100,3,2045.12,921732.25,141.14423847198486,1243757.5277777778
100,5,4887.99,1585387.9,237.9972486257553,2072726.3160749506
100,7,6000.0,1704356.7,335.489541888237,2952418.0883833813
